uuid,first_name,middle_name,last_name,ssn,dob,race,gender,veteranstatus,date_created,dateupdated,userid,email,phone
108499,David,W,Aagaard,100108499,1/1/45,B,M,Y,6/16/06 11:07,10/15/15 10:29,245092,mrussell0@smh.com.au,48-(593)357-6834
247915,Audrey,S - T,Abruzzo,100247915,1/1/52,B,F,N,8/20/15 2:15,8/20/15 2:15,245076,jbell1@sina.com.cn,86-(272)606-9885
115207,Linda,Rose,Afghani,100115207,1/1/64,B,M,Y,3/14/00 5:21,10/21/15 10:37,245092,sharrison2@elpais.com,62-(794)471-8057
248537,Mark,R,Agdeppa,100248537,1/1/75,W,M,Y,10/5/15 1:25,10/6/15 2:12,245094,charris3@slate.com,970-(809)546-3959
189606,Philip,L.,Ahsan,100189606,1/1/08,B,O,N,10/2/13 5:05,10/26/15 7:52,245094,rcarpenter4@amazon.co.jp,256-(137)799-5593
238430,Erik,Y,Ai,100238430,1/1/63,W,M,Y,12/13/13 12:46,2/5/16 7:17,245094,rwoods5@ucoz.com,58-(506)744-7358
245538,Robert,D,Aitken,100245538,NULL,W,F,N,2/17/15 9:58,7/6/15 8:40,245092,hray6@hc360.com,86-(555)854-6524
245780,David,L,Aka,100245780,1/1/56,W,M,N,3/6/15 7:50,12/29/15 9:36,246539,amurray7@diigo.com,46-(225)121-4436
248538,Jonathan,B.,Albert,100248538,1/1/75,W,F,N,10/5/15 1:55,10/6/15 2:13,245094,hkelley8@blogger.com,7-(855)272-5987
249124,Ethan,E,Alcoba,100249124,1/1/57,B,M,Y,12/2/15 11:25,12/2/15 11:26,248351,sfuller9@blogspot.com,86-(730)705-9913
249476,Curt,M,Alford,100249476,1/1/59,B,F,Y,1/6/16 10:22,2/18/16 10:05,188937,lhowella@archive.org,351-(148)288-2958
238431,Philip,M.,Ali,100238431,1/1/62,W,F,N,12/13/13 12:47,2/5/16 7:19,245094,dmasonb@thetimes.co.uk,55-(189)938-2459
252015,Hengning,E,Allan,100252015,1/1/89,W,M,Y,2/16/16 11:03,2/16/16 11:03,248351,rmorenoc@ask.com,355-(750)500-7652
249356,Laura,S,Alloway,100249356,1/1/80,B,M,N,12/22/15 8:55,1/19/16 10:18,244892,ewatkinsd@youtu.be,1-(973)847-3238
91161,Douglas,T,Andersen,100091161,1/1/52,B,M,Y,3/14/00 5:21,12/16/15 3:00,245092,jmccoye@hud.gov,86-(375)906-2056
249716,Thomas,W,Andrews,100249716,1/1/57,B,M,Y,1/25/16 3:18,1/25/16 3:19,248351,pdiazf@msu.edu,86-(900)532-5743
91501,Raz,E,Antonson,NULL,NULL,B,M,Y,3/14/00 5:21,12/16/15 1:59,245092,cgordong@blogspot.com,353-(355)635-0689
248547,John,D,Augustine,100248547,1/1/69,B,F,N,10/6/15 12:20,10/6/15 12:21,245076,sperezh@sitemeter.com,55-(603)741-1431
247857,Regina,S.,Babcock,100247857,1/1/49,W,M,Y,8/18/15 7:38,12/9/15 10:02,248678,pgonzalezi@chron.com,1-(855)197-3569
248675,Lydia,Anne,Baillargeon,100248675,1/1/10,B,M,N,10/19/15 1:25,10/19/15 1:25,182894,hcunninghamj@noaa.gov,86-(450)911-0404
249295,Rejean,,Bakman,100249295,1/1/51,B,M,Y,12/16/15 12:05,1/21/16 11:25,246539,btuckerk@youtube.com,66-(358)126-6366
249470,Edward,B,Banks,100249470,1/1/82,W,M,Y,1/6/16 7:52,1/21/16 1:33,245881,pfosterl@globo.com,356-(598)985-7584
249199,Robert,A,Bassinger,100249199,1/1/05,B,F,N,12/9/15 10:03,12/9/15 10:04,245094,rphillipsm@prlog.org,86-(295)984-9473
247531,Jack,P,Bauer,100247531,1/1/72,W,O,Y,7/24/15 8:23,1/13/16 2:33,245881,jjonesn@wufoo.com,66-(532)472-3609
248680,Susan,N,Beatus,100248680,1/1/52,B,M,Y,10/20/15 8:07,10/20/15 8:07,248351,anguyeno@google.ca,33-(770)600-2949
249639,Jessica,B,Becker,100249639,1/1/12,W,F,N,1/20/16 8:10,1/20/16 8:11,246539,pjohnsonp@microsoft.com,63-(851)341-2182
241169,Daniel,R,Beldon,100241169,1/1/57,B,M,Y,9/12/14 8:03,7/20/15 10:44,188978,jjohnstonq@samsung.com,509-(773)405-8829
248556,Renee,M,Benefield,100248556,1/1/85,W,F,N,10/6/15 2:01,10/29/15 11:09,246539,bdayr@sitemeter.com,380-(297)795-4567
101863,Karen,J Nathaniel,Benes,100101863,1/1/60,B,M,Y,12/20/04 9:31,12/2/15 1:45,246539,arichardsons@go.com,420-(977)578-1460
248856,Matthew,P,Benoit,100248856,1/1/72,W,F,Y,11/3/15 9:12,11/3/15 9:13,245881,pkingt@ox.ac.uk,98-(256)690-9290
95126,Patricia,F,Benson,100095126,1/1/80,B,F,Y,6/5/03 3:03,1/29/16 10:16,246539,arayu@thetimes.co.uk,62-(609)989-0916
